grid_type|lat|resolution|area
s2|5|13|1.2064646383
s2|5|14|0.3015825717
s2|5|15|0.0753914443
s2|5|16|0.0188478108
s2|5|17|0.0047119464
s2|5|18|0.0011779858
s2|5|19|0.0002944964
s2|5|20|7.36241e-05
s2|5|21|1.8406e-05
s2|5|22|4.6015e-06
s2|5|23|1.1504e-06
s2|5|24|2.876e-07
s2|5|25|7.19e-08
s2|5|26|1.8e-08
s2|5|27|4.5e-09
s2|5|28|1.1e-09
s2|5|29|3e-10
s2|5|30|1e-10
s2|10|0|84154909.02223916
s2|10|1|24599524.08762271
s2|10|2|6273001.450371002
s2|10|3|1393704.6322638062
s2|10|4|351369.6862621671
s2|10|5|87519.9110488871
s2|10|6|21799.1330313152
s2|10|7|5437.255033927
s2|10|8|1350.6192099178
s2|10|9|336.5639610938
s2|10|10|84.1140655969
s2|10|11|21.0114321828
s2|10|12|5.2507215879
s2|10|13|1.3124132818
s2|10|14|0.3280966742
s2|10|15|0.0820233372
s2|10|16|0.0205053125
s2|10|17|0.0051262629
s2|10|18|0.0012815641
s2|10|19|0.00032039
s2|10|20|8.00974e-05
s2|10|21|2.00243e-05
s2|10|22|5.0061e-06
s2|10|23|1.2515e-06
s2|10|24|3.129e-07
s2|10|25|7.82e-08
s2|10|26|1.96e-08
s2|10|27|4.9e-09
s2|10|28|1.2e-09
s2|10|29|3e-10
s2|10|30|1e-10
s2|15|0|84154909.02223916
s2|15|1|24599524.08762271
s2|15|2|6273001.450371002
s2|15|3|1638664.4152424615
s2|15|4|381043.8717289062
s2|15|5|94404.8273707624
s2|15|6|23073.085695405
s2|15|7|5749.2036131146
s2|15|8|1434.7642889485
s2|15|9|358.364580153
s2|15|10|89.549750004
s2|15|11|22.3822268065
s2|15|12|5.5934814487
s2|15|13|1.3982886554
s2|15|14|0.3495397267
s2|15|15|0.0873808767
s2|15|16|0.0218450595
s2|15|17|0.0054612449
s2|15|18|0.0013653087
s2|15|19|0.0003413262
s2|15|20|8.53315e-05
s2|15|21|2.13329e-05
s2|15|22|5.3332e-06
s2|15|23|1.3333e-06
s2|15|24|3.333e-07
s2|15|25|8.33e-08
s2|15|26|2.08e-08
s2|15|27|5.2e-09
s2|15|28|1.3e-09
s2|15|29|3e-10
s2|15|30|1e-10
s2|20|0|84154909.02223916
s2|20|1|24599524.08762271
s2|20|2|6273001.450371002
s2|20|3|1638664.4152424615
s2|20|4|404492.1422727726
s2|20|5|99685.1655604515
